outcome,month,MMWR week,Week date,Age group,Vaccine product,Vaccinated with outcome,Fully vaccinated population,Unvaccinated with outcome,Unvaccinated population,Crude vax IR,Crude unvax IR,Crude IRR,Age adjusted vax IR,Age adjusted unvax IR,Age adjusted IRR
case,04 - APR,14,Apr 04-Apr 10,12-17,all_types,4,19653,22165,10817618,20.35312675,204.8972334,10.06711332,,,
case,04 - APR,14,Apr 04-Apr 10,18-29,all_types,432,1406437,55217,19543208,30.71591547,282.5380562,9.198425373,,,
case,04 - APR,14,Apr 04-Apr 10,30-49,all_types,1176,3972493,71563,25934960,29.60357639,275.9325636,9.320919876,,,
case,04 - APR,14,Apr 04-Apr 10,50-64,all_types,1027,4140195,37287,14862743,24.80559491,250.8756291,10.11367113,,,
case,04 - APR,14,Apr 04-Apr 10,65-79,all_types,1169,8933954,10748,4897480,13.08491179,219.4598038,16.77197427,,,
case,04 - APR,14,Apr 04-Apr 10,80+,all_types,554,3079783,2662,1744234,17.98828034,152.6171374,8.484253885,,,
case,04 - APR,14,Apr 04-Apr 10,all_ages_adj,Janssen,804,1333378,199642,77800243,60.29798002,256.608453,4.255672461,69.96408001,253.9889753,3.630276783
case,04 - APR,14,Apr 04-Apr 10,all_ages_adj,Moderna,1144,9484658,199642,77800243,12.06158409,256.608453,21.27485504,22.81892308,253.9889753,11.13062936
case,04 - APR,14,Apr 04-Apr 10,all_ages_adj,Pfizer,2337,10693589,199642,77800243,21.85421564,256.608453,11.74182854,25.93696329,253.9889753,9.792548669
case,04 - APR,14,Apr 04-Apr 10,all_ages_adj,all_types,4362,21552515,199642,77800243,20.23893731,256.608453,12.67894895,25.66635312,253.9889753,9.89579525
case,04 - APR,15,Apr 11-Apr 17,12-17,all_types,3,29567,22221,10614723,10.14644705,209.3413083,20.63198154,,,
case,04 - APR,15,Apr 11-Apr 17,18-29,all_types,499,1691402,51952,18249572,29.50215265,284.6751694,9.64930162,,,
case,04 - APR,15,Apr 11-Apr 17,30-49,all_types,1357,4779191,67918,23940072,28.39392692,283.7000657,9.99157554,,,
case,04 - APR,15,Apr 11-Apr 17,50-64,all_types,1293,5356194,34876,13488428,24.14027573,258.5623766,10.71082947,,,
case,04 - APR,15,Apr 11-Apr 17,65-79,all_types,1350,10397989,10854,4512265,12.98327975,240.5443829,18.52724332,,,
case,04 - APR,15,Apr 11-Apr 17,80+,all_types,653,3372841,2528,1662098,19.36053315,152.0969281,7.85602994,,,
case,04 - APR,15,Apr 11-Apr 17,all_ages_adj,Janssen,1045,1691151,190349,72467158,61.79223499,262.6693322,4.250846927,67.25400708,261.4702835,3.887802302
case,04 - APR,15,Apr 11-Apr 17,all_ages_adj,Moderna,1346,11125606,190349,72467158,12.09821739,262.6693322,21.71140787,14.0650842,261.4702835,18.59002619
case,04 - APR,15,Apr 11-Apr 17,all_ages_adj,Pfizer,2673,12766109,190349,72467158,20.93825143,262.6693322,12.54495072,23.41961734,261.4702835,11.16458394
case,04 - APR,15,Apr 11-Apr 17,all_ages_adj,all_types,5155,25627184,190349,72467158,20.11535875,262.6693322,13.05814803,23.84877574,261.4702835,10.9636774
case,04 - APR,16,Apr 18-Apr 24,12-17,all_types,6,46569,18936,10428697,12.88410745,181.5758958,14.09301315,,,
case,04 - APR,16,Apr 18-Apr 24,18-29,all_types,563,2173478,39373,17382884,25.90318375,226.5044166,8.744269387,,,
case,04 - APR,16,Apr 18-Apr 24,30-49,all_types,1602,5966771,54909,22620330,26.84869253,242.7418168,9.041103825,,,
case,04 - APR,16,Apr 18-Apr 24,50-64,all_types,1426,7064251,27809,12606403,20.18614571,220.5942488,10.9280024,,,
case,04 - APR,16,Apr 18-Apr 24,65-79,all_types,1365,11522833,9226,4262552,11.84604515,216.4431073,18.27133905,,,
case,04 - APR,16,Apr 18-Apr 24,80+,all_types,608,3606174,2285,1608485,16.85997403,142.0591426,8.425822147,,,
case,04 - APR,16,Apr 18-Apr 24,all_ages_adj,Janssen,1356,2549569,152538,68909351,53.18545997,221.3603782,4.162046889,48.16819342,222.2336716,4.613701612
case,04 - APR,16,Apr 18-Apr 24,all_ages_adj,Moderna,1437,12859780,152538,68909351,11.17437468,221.3603782,19.80964346,18.43398104,222.2336716,12.05565261
case,04 - APR,16,Apr 18-Apr 24,all_ages_adj,Pfizer,2687,14920597,152538,68909351,18.00866279,221.3603782,12.29188312,20.04965492,222.2336716,11.08416442
