날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2016-05-02,112,20.4,17.1,27
2016-05-03,112,13.1,9.8,17.3
2016-05-04,112,15.3,11.3,18.4
2016-05-05,112,18,10.6,25.3
2016-05-06,112,14.8,12.2,18.7
2016-05-07,112,15.2,10.7,19.1
2016-05-08,112,18.3,12.7,24.3
2016-05-09,112,18.3,15.3,22.2
2016-05-10,112,14.1,12.7,16.9
2016-05-11,112,15.3,11.5,20.1
2016-05-12,112,15.9,12.2,20.3
2016-05-13,112,17.3,12.1,23.1
2016-05-14,112,19.1,15.5,25
2016-05-15,112,16.5,12.2,23
2016-05-16,112,14.7,11.6,18.1
2016-05-17,112,17.6,11.7,23.8
2016-05-18,112,20.9,14.8,27.1
2016-05-19,112,23.5,16.6,29.3
2016-05-20,112,22.2,17.5,27.5
2016-05-21,112,24.1,19,28.9
2016-05-22,112,23.3,19.4,28.5
2016-05-23,112,20.9,17.5,25.9
2016-05-24,112,15.7,14.5,19.4
2016-05-25,112,18.4,15.5,21.9
2016-05-26,112,18,16.2,20.2
2016-05-27,112,19.5,15.5,24.4
2016-05-28,112,19.2,15.5,23.8
2016-05-29,112,19.6,16.4,24.5
2016-05-30,112,20.5,17.4,24.6
2016-05-31,112,19.4,16.7,23.1
2016-06-01,112,22.4,16.8,27.5
2016-06-02,112,21.8,18.3,25.5
2016-06-03,112,20.4,16.5,24.5
2016-06-04,112,20.3,18.4,23.5
2016-06-05,112,23.1,17.1,28.7
2016-06-06,112,22,20.3,25.5
2016-06-07,112,20.9,18,24.8
2016-06-08,112,19.5,16.9,22.8
2016-06-09,112,21.6,17.5,26.7
2016-06-10,112,21.9,18.2,26.3
2016-06-11,112,22.3,20.3,25.7
2016-06-12,112,21.6,18.2,25.2
2016-06-13,112,20.7,17.7,25.6
2016-06-14,112,21.5,18.6,25.2
2016-06-15,112,19.7,17.3,23
2016-06-16,112,19.9,17.8,22.6
2016-06-17,112,22.2,18.2,26
2016-06-18,112,21.8,19.3,24.6
2016-06-19,112,22.8,20,26.7
2016-06-20,112,23.1,19.5,26.7
2016-06-21,112,23.9,21.3,27.1
2016-06-22,112,23.9,21.8,27.2
2016-06-23,112,23.4,20.4,28.1
2016-06-24,112,22.5,20.5,25.5
2016-06-25,112,22.4,19.2,25.3
2016-06-26,112,23.2,19.5,27.3
2016-06-27,112,23.4,20.6,27.8
